Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
15:30:00.000Z,15:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
15:45:00.000Z,16:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
16:00:00.000Z,16:15:00.000Z,28.213561623196146,132.09025192260742,,,,,0.6304854479960248,0.8905863761901855,0.36532631516456604,205,,,,4,617510,176608,,,,,
16:15:00.000Z,16:30:00.000Z,39.798373992967655,232.0,-33.9774733,18.4652783,-33.9774733,18.4652783,0.7733333110809326,0.7733333110809326,0.7733333110809326,367,,,,4,524176,360000,,,,,
16:30:00.000Z,16:45:00.000Z,34.789397485655556,43.38258361816406,-33.9779014,18.465407,-33.9779014,18.465407,0.7196367979049683,0.7196367979049683,0.7196367979049683,80,,,,2,619294,280706,,,,,
16:45:00.000Z,17:00:00.000Z,21.082192373275756,200.74502754211426,-33.9753964,18.4648977,-33.9714342,18.4664228,0.4904969856142998,0.8143272995948792,0.1666666716337204,340,,,,7,509598,390402,,,,,
17:00:00.000Z,17:15:00.000Z,12.0,349.5,-33.966271,18.4607891,-33.8882464,18.6219457,0.3883333206176758,0.3883333206176758,0.3883333206176758,498,,,,15,,900000,,,,,
17:15:00.000Z,17:30:00.000Z,13.685763665109326,247.0586388370071,-33.884661,18.6397625,-33.8620211,18.6855132,0.3218996822834015,0.3218996822834015,0.3218996822834015,356,,,,10,300000,600000,,,,,
17:30:00.000Z,17:45:00.000Z,20.98290741395757,4.157303370786517,,,,,,,,6,,,,,837856,62144,,,,,
17:45:00.000Z,18:00:00.000Z,17.05729090208166,4.157303370786517,,,,,,,,3,,,,,360000,,,,540000,,
18:00:00.000Z,18:15:00.000Z,17.057290570489293,4.157303370786517,,,,,,,,,,,,,,,,,900000,,
18:15:00.000Z,18:30:00.000Z,17.05729098868096,4.157303370786517,-33.8635533,18.6842445,-33.8635533,18.6842445,,,,,,,,,,,,,780000,,120000
18:30:00.000Z,18:45:00.000Z,17.05729103088379,4.157303370786517,,,,,,,,,,,,,,,,,900000,,
18:45:00.000Z,19:00:00.000Z,17.05729103088379,4.157303370786517,-33.8636037,18.6842649,-33.8636037,18.6842649,,,,,,,,,,,,,900000,,
19:00:00.000Z,19:15:00.000Z,17.05729103088379,4.157303370786517,-33.8635502,18.6842521,-33.8635502,18.6842521,,,,,,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,17.057290923804565,4.157303370786517,-33.8636027,18.6842163,-33.8635317,18.6842683,,,,,,,,,,,,,900000,,
19:30:00.000Z,19:45:00.000Z,17.057290830110247,4.157303370786517,-33.8635783,18.6842407,-33.8635783,18.6842407,0.004619225859642029,0.004619225859642029,0.004619225859642029,,,,,,,,,,900000,,
19:45:00.000Z,20:00:00.000Z,17.057290830110247,4.157303370786517,-33.8635285,18.6842319,-33.8635285,18.6842319,,,,,,,,,,,,,900000,,
20:00:00.000Z,20:15:00.000Z,17.05729137767445,4.157303370786517,,,,,,,,,,,,,,,,,240000,,660000
20:15:00.000Z,20:30:00.000Z,17.05729137767445,4.157303370786517,-33.8635933,18.6842712,-33.8635933,18.6842712,,,,,,,,,,,,,900000,,
20:30:00.000Z,20:45:00.000Z,17.05729137767445,4.157303370786517,,,,,,,,,,,,,,,,,900000,,
20:45:00.000Z,21:00:00.000Z,17.05729131098394,4.157303370786517,,,,,,,,,,,,,,,,,600000,300000,
21:00:00.000Z,21:15:00.000Z,17.057290931114785,4.157303370786517,-33.8636257,18.6842109,-33.8636257,18.6842109,,,,,,,,,,,,,420000,480000,
21:15:00.000Z,21:30:00.000Z,17.05729064941406,4.157303370786517,-33.8636098,18.6841998,-33.863594,18.6842684,,,,,,,,,,,,,900000,,
21:30:00.000Z,21:45:00.000Z,17.05729086483226,4.157303370786517,,,,,,,,,,,,,,,,,180000,720000,
21:45:00.000Z,22:00:00.000Z,17.057290993484795,2.2172284644194757,,,,,,,,,,,,,,,,600000,,300000,
22:00:00.000Z,22:15:00.000Z,17.05729103088379,0.2726008344923505,-33.8636026,18.6841844,-33.8635884,18.6842651,,,,,,,,,,,,900000,,,
22:15:00.000Z,22:30:00.000Z,17.05729103088379,0.29207232267037553,-33.8636038,18.6842594,-33.8636038,18.6842594,,,,,,,,,,,,900000,,,
22:30:00.000Z,22:45:00.000Z,17.05729103088379,0.29207232267037553,,,,,,,,,,,,,,,,900000,,,
22:45:00.000Z,23:00:00.000Z,17.05729103088379,0.29207232267037553,,,,,,,,,,,,,,,,900000,,,
23:00:00.000Z,23:15:00.000Z,17.05729103088379,0.29207232267037553,,,,,,,,,,,,,,,,900000,,,
23:15:00.000Z,23:30:00.000Z,17.05729103088379,0.29207232267037553,,,,,,,,,,,,,,,,900000,,,
23:30:00.000Z,23:45:00.000Z,17.05729103088379,0.29207232267037553,,,,,,,,,,,,,,,,900000,,,
23:45:00.000Z,00:00:00.000Z,17.05729103088379,0.29207232267037553,,,,,,,,,,,,,,,,900000,,,
