Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-03-22,2153.2053738471213,8231.832790022565,-33.8637075,18.5265151,-33.8192628,18.6859851,1.7127314676212593,26.79758644104004,0.11947016417980194,5499,,,,99,2321907,56639632,5299819,,,,6360000,6720000,
2019-03-23,1928.268561773526,1440.1499465649588,-33.8636765,18.6841739,-33.8635205,18.6843278,0.4869990562939209,1.6048901081085205,0.0,2999,,,,29,,43626477,4291970,,,,25080000,1440000,
2019-03-24,1870.0305153399438,927.6738061904907,-33.8636003,18.6842121,-33.8635507,18.6842372,0.47566354007543177,1.3063709735870361,0.25341275334358215,2053,,,,23,,66549327,3388850,,,,9720000,1260000,
2019-03-25,1989.9647007147473,2452.235826729475,-33.9801035,18.4630548,-33.8635399,18.6842528,0.3603294753777062,1.533945918083191,0.0,4176,,,,50,,44937505,5248717,,,,25560000,6600000,
2019-03-26,2313.9148864507674,3327.250769846593,-33.9774725,18.464275,-33.862006,18.6847747,0.45077439820576365,6.339702606201172,0.0,3117,,,,39,,46518193,3185570,3132550,,,23100000,6960000,120000
2019-03-27,1885.895774763085,2087.238265164998,-33.9774775,18.4657738,-33.8635341,18.6842596,0.6813219931628522,1.7749998569488525,0.0,3295,,,,32,,56666493,3654464,60767,,,16680000,3900000,
2019-03-28,1751.8940668647385,886.7647316455841,,,,,0.554297601493367,1.5793339014053345,0.2805768549442291,1735,,,,21,,82992129,1556862,,,,,,
2019-03-29,2204.049742768008,2291.5106950998306,-33.9774464,18.4654063,-33.9773492,18.4656695,0.7854493626281087,1.4026626348495483,0.2459903210401535,4037,,,,62,,73594784,8568617,,,,,,
2019-03-30,1993.4150482241853,1598.4470987375028,,,,,1.1170754725505307,24.964141845703125,0.26052019000053406,4035,,,,40,,64612226,5302170,,,,6180000,2940000,
2019-03-31,1887.572503603116,732.3752364992787,-33.8636789,18.6842398,-33.8623942,18.6854028,3.2395570913781717,33.05901336669922,0.0,1665,,,,14,,38961900,1353333,1020000,,,27480000,6420000,
2019-04-01,2151.9223665759578,4664.2771764988765,-33.9804365,18.4636012,-33.8635968,18.6842566,0.49789020803071904,5.87463903427124,0.0,4338,,,,48,,45850700,3814656,1800000,,,22320000,6900000,
2019-04-02,2143.855394977546,4508.540148451408,-33.9111113,18.5515981,-33.8576317,18.6935708,0.37194493271232965,2.259999990463257,0.00512104295194149,5084,,,,38,,52776957,1456848,2643650,,,20340000,5640000,
2019-04-03,1899.3510419235254,1863.7471784949303,-33.9807845,18.4634083,-33.8635547,18.6842188,0.6302442819835027,1.6878725290298462,0.06383785605430603,3524,,,,38,,62332091,3843535,,,,8400000,3960000,60000
2019-04-04,2182.2787367512246,2880.770132660866,-33.9783592,18.4652994,-33.8635722,18.6842987,1.7255759007742193,32.99031448364258,0.0,3786,,,,4,,48224684,3887389,1920000,,,19200000,5340000,780000
2019-04-05,1898.1414898773648,1844.3919994831085,-33.9776942,18.465349,-33.9774342,18.465518,2.3367082980993192,32.96270751953125,0.2915906012058258,3496,,,,40,,71711270,3824778,,,,,,
2019-04-06,2395.102174465446,14349.721145629883,-33.8890857,18.5634911,-33.8577781,18.686324,2.318412616379079,17.04354476928711,0.18399421870708466,2844,,,,34,797630,72277058,3768973,,,,,,
2019-04-07,1712.9843851271269,362.9121513366699,,,,,0.7059134597223101,1.3075052499771118,0.32964757084846497,1049,,,,10,,83906538,953474,,,,,,
