Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
16:45:00.000Z,17:00:00.000Z,16.88541603088379,12.43141072576418,,,,,0.2496512234210968,0.2496512234210968,0.2496512234210968,29,,,,,900000,,,,
17:00:00.000Z,17:15:00.000Z,16.88541603088379,28.373299185582255,,,,,0.33092911035060646,0.3440764248371124,0.28991398215293884,72,,,,,900000,,,,
17:15:00.000Z,17:30:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
17:30:00.000Z,17:45:00.000Z,16.88541603088379,,,,,,,,,15,,,,,900000,,,,
17:45:00.000Z,18:00:00.000Z,16.88541603088379,,,,,,,,,52,,,,,900000,,,,
18:00:00.000Z,18:15:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
18:15:00.000Z,18:30:00.000Z,16.88541603088379,17.214487075805664,,,,,0.2869080901145935,0.2869080901145935,0.2869080901145935,50,,,,,900000,,,,
18:30:00.000Z,18:45:00.000Z,16.88541603088379,,,,,,,,,4,,,,,900000,,,,
18:45:00.000Z,19:00:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
19:00:00.000Z,19:15:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
19:15:00.000Z,19:30:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
19:30:00.000Z,19:45:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
19:45:00.000Z,20:00:00.000Z,16.88541603088379,,,,,,,,,1,,,,,900000,,,,
20:00:00.000Z,20:15:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
20:15:00.000Z,20:30:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
20:30:00.000Z,20:45:00.000Z,16.885415840974105,,,,,,,,,,,,,,900000,,,,
20:45:00.000Z,21:00:00.000Z,16.885415536739114,,,,,,,,,,,,,,900000,,,,
21:00:00.000Z,21:15:00.000Z,42.1485323959583,437.23517501461174,,,,,0.8881468737445743,1.6037455797195435,0.31878677010536194,694,,,,10,370549,401348,,,
21:15:00.000Z,21:30:00.000Z,16.885416034611932,5.258707045439224,,,,,0.25502943992614746,0.25502943992614746,0.25502943992614746,10,,,,,849060,,,,
21:30:00.000Z,21:45:00.000Z,16.88541603088379,,,,,,,,,2,,,,,900000,,,,
21:45:00.000Z,22:00:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
22:00:00.000Z,22:15:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
22:15:00.000Z,22:30:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
22:30:00.000Z,22:45:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
22:45:00.000Z,23:00:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
23:00:00.000Z,23:15:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
23:15:00.000Z,23:30:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
23:30:00.000Z,23:45:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
23:45:00.000Z,00:00:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
