Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
19:30:00.000Z,19:45:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
19:45:00.000Z,20:00:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
20:00:00.000Z,20:15:00.000Z,17.203113555908203,,,,,,,,,5,,,,,,900000,,
20:15:00.000Z,20:30:00.000Z,17.203113555908203,,,,,,,,,7,,,,,,900000,,
20:30:00.000Z,20:45:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
20:45:00.000Z,21:00:00.000Z,17.203113555908203,,,,,,,,,17,,,,,,900000,,
21:00:00.000Z,21:15:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
21:15:00.000Z,21:30:00.000Z,17.203113555908203,,,,,,,,,23,,,,,,900000,,
21:30:00.000Z,21:45:00.000Z,17.203113555908203,,,,,,,,,19,,,,,,900000,,
21:45:00.000Z,22:00:00.000Z,17.203113555908203,,,,,,,,,43,,,,,,900000,,
22:00:00.000Z,22:15:00.000Z,17.203113555908203,,,,,,,,,17,,,,,,900000,,
22:15:00.000Z,22:30:00.000Z,17.203113555908203,,,,,,,,,22,,,,,,900000,,
22:30:00.000Z,22:45:00.000Z,17.203113555908203,,,,,,,,,8,,,,,,900000,,
22:45:00.000Z,23:00:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
23:00:00.000Z,23:15:00.000Z,17.203113555908203,,,,,,,,,2,,,,,,900000,,
23:15:00.000Z,23:30:00.000Z,17.203113555908203,,,,,,,,,2,,,,,,900000,,
23:30:00.000Z,23:45:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
23:45:00.000Z,00:00:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
